HEC Need Based Scholarships,http://hec.gov.pk/english/scholarshipsgrants/NBS
Pak-Sri Lanka Higher Education Cooperation Program,http://hec.gov.pk/english/scholarshipsgrants/pshecp
Award of Allama Iqbal Scholarships for Afghan Nationals,http://hec.gov.pk/english/scholarshipsgrants/amisp
HEC Opportunities for  students of Balochistan & FATA,http://hec.gov.pk/english/scholarshipsgrants/BAL-FATA
OGDCL Need Based Scholarships Program through HEC,http://hec.gov.pk/english/scholarshipsgrants/OGDCL-NBSP
Prime Minister Fee Reimbursement Scheme,http://hec.gov.pk/english/scholarshipsgrants/tfp
USAID-funded Merit and Needs-Based Scholarship Program,http://hec.gov.pk/english/scholarshipsgrants/USAID-NeedsBased
Gwadar-China Scholarship Program,http://hec.gov.pk/english/scholarshipsgrants/GCSP
Indigenous Ph.D. Fellowship Program,http://hec.gov.pk/english/scholarshipsgrants/IPHDFP5000F
CLA Dafoe Scholarship,http://scholarships.studentscholarships.org/cla_dafoe_scholarship_638.php
BCIT ABORIGINAL ENTRANCE AWARDS,http://scholarships.studentscholarships.org/bcit_aboriginal_entrance_awards_670.php
BC Radilogical Society Entrance Award,http://scholarships.studentscholarships.org/bc_radilogical_society_entrance_award_679.php
Citytv Vancouver Entrance Awards,http://scholarships.studentscholarships.org/citytv_vancouver_entrance_awards_686.php
Allan G. Goodbrand Memorial Entrance Awards,http://scholarships.studentscholarships.org/allan_g_goodbrand_memorial_entrance_awards_688.php
Jiro Hamaguchi Memorial Entrance Awards,http://scholarships.studentscholarships.org/jiro_hamaguchi_memorial_entrance_awards_689.php
Oracle Corporation Vancouver Entrance Award,http://scholarships.studentscholarships.org/oracle_corporation_vancouver_entrance_award_691.php
Teck Cominco Limited Entrance Award,http://scholarships.studentscholarships.org/teck_cominco_limited_entrance_award_692.php
TimberWest Forest Corp. Entrance Award,http://scholarships.studentscholarships.org/timberwest_forest_corp_entrance_award_693.php
The BCIT Staff ,http://scholarships.studentscholarships.org/the_bcit_staff_high_tech_high_promise_capital_campaign_entrance_award_696.php
